#           Observatorio Astronomico Nacional San Pedro Martir
#STAR_ID           RA        DEC        U        B        V        R        I 
#1                  2          3        4        5        6        7        8 
1235       274.478007 -12.199251  12.2256   12.589   12.511  12.3722  12.2955
755        274.513077 -12.196049  12.1026   12.569   12.589  12.5282  12.5985
1012       274.496716 -12.221741  12.0836   12.542    12.61  12.6012  12.7165
85         274.555619 -12.170543  14.1646   13.412   12.626  12.0762  11.7125
804        274.509331 -12.277944  12.3856   12.647   12.664  12.6122  12.5955
349        274.538680 -12.215274  12.7626   12.852   12.665  12.4632  12.3565
1398       274.447643 -12.263232  95.3236   13.545   12.706  97.5352  98.2045
341        274.539641 -12.179274  95.3236    12.35   12.706  97.5352  98.2045
766        274.511698 -12.262564  12.5086   12.755    12.72  12.6272  12.5495
53         274.557417 -12.191781  12.5526   12.841    12.77  12.6042  12.4325
1124       274.488343 -12.248112  12.6456   12.806   12.771  12.7082  12.7165
808        274.510632 -12.176021  12.5026   12.858   12.826  12.7672  12.8355
669        274.517276 -12.282828  12.9296   12.998   12.827  12.6602  12.5645
1377       274.453276 -12.239594  12.4246   12.832   12.832  12.8012  12.8765
1374       274.453557 -12.229810  13.1366   13.191    12.85  12.5602  12.3975
846        274.507610 -12.227836  95.3236   13.944   12.889  12.1352  11.5915
1332       274.462795 -12.189521  12.8716   13.079   12.895  12.6802  12.5255
716        274.515049 -12.214147  12.7326   12.893   12.896  12.8452  12.8495
1260       274.474215 -12.231574  13.0156   13.164   12.897  12.6662  12.5645
1001       274.497122 -12.232172  13.1076   13.171   12.915  12.6532  12.4565
844        274.507709 -12.231182  12.5816   12.959   12.922  12.8532  12.9205
625        274.520851 -12.221046  12.4246    12.93   12.952  12.8962  12.9235
1033       274.495336 -12.204534  12.8226   12.976   12.954  12.8862  12.8585
105        274.554351 -12.180702  95.3236   13.933   12.955  12.2302  11.6945
594        274.522311 -12.270385  13.4646   13.383   12.971  12.5762  12.2015
898        274.503562 -12.251612  12.8036   13.005   12.993  12.9472  12.9335
1397       274.448911 -12.187002  12.9226   13.156   12.996  12.7742  12.6175
