#             Isocronas PARSEC
# http://stev.oapd.inaf.it/cgi-bin/cmd
# Las magnitudes que se muestran son las absolutas.
#        age         M_B          M_V
#       (yr)        (mag)        (mag)
   1.995e+08       14.57          13
   1.995e+08       13.52       12.03
   1.995e+08       12.87       11.42
   1.995e+08       12.36       10.95
   1.995e+08        11.9       10.54
   1.995e+08       11.45       10.13
   1.995e+08       11.01       9.712
   1.995e+08       10.55       9.278
   1.995e+08       10.09       8.843
   1.995e+08       9.647       8.425
   1.995e+08       8.681       7.555
   1.995e+08       7.666        6.67
   1.995e+08       7.654        6.66
   1.995e+08       6.719       5.867
   1.995e+08       5.937       5.213
   1.995e+08       5.264       4.646
   1.995e+08       4.656       4.128
   1.995e+08       4.141       3.688
   1.995e+08       3.679       3.291
   1.995e+08       3.273       2.949
   1.995e+08       2.882       2.624
   1.995e+08       2.538        2.34
   1.995e+08       2.235       2.093
   1.995e+08       2.234       2.092
   1.995e+08       1.977       1.879
   1.995e+08       1.858       1.781
   1.995e+08       1.749       1.687
   1.995e+08       1.359       1.347
   1.995e+08       1.309       1.303
   1.995e+08       0.867       0.903
   1.995e+08       0.783       0.825
   1.995e+08        0.43       0.493
   1.995e+08       0.143        0.22
   1.995e+08       0.125       0.202
   1.995e+08       0.122       0.199
   1.995e+08      -0.117      -0.033
   1.995e+08      -0.328      -0.241
   1.995e+08      -0.522      -0.433
   1.995e+08      -0.673      -0.584
   1.995e+08      -0.724      -0.634
   1.995e+08      -0.898       -0.81
   1.995e+08      -1.061      -0.977
   1.995e+08      -1.217      -1.137
   1.995e+08      -1.291      -1.214
   1.995e+08      -1.361      -1.285
   1.995e+08      -1.406      -1.331
   1.995e+08      -1.431      -1.353
   1.995e+08      -1.441      -1.359
   1.995e+08      -1.432      -1.338
   1.995e+08      -1.425      -1.324
   1.995e+08      -1.428      -1.318
   1.995e+08      -1.408        -1.3
   1.995e+08      -1.371      -1.269
   1.995e+08      -1.438      -1.344
   1.995e+08      -1.583        -1.5
   1.995e+08       -1.71       -1.64
   1.995e+08      -1.792      -1.735
   1.995e+08      -1.815      -1.765
   1.995e+08      -1.872      -1.839
   1.995e+08      -1.912      -1.906
   1.995e+08      -1.915      -1.937
   1.995e+08      -1.899      -1.959
   1.995e+08      -1.852      -1.962
   1.995e+08      -1.758       -1.94
   1.995e+08      -1.607      -1.887
   1.995e+08       -1.41      -1.802
   1.995e+08      -1.279      -1.743
   1.995e+08      -1.129      -1.673
   1.995e+08      -0.781      -1.495
   1.995e+08      -0.438      -1.282
   1.995e+08      -0.117      -1.063
   1.995e+08       0.108       -0.92
   1.995e+08       0.106      -0.992
   1.995e+08       0.013      -1.135
   1.995e+08      -0.072      -1.254
   1.995e+08      -0.151      -1.368
   1.995e+08      -0.242      -1.484
   1.995e+08      -0.347      -1.622
   1.995e+08      -0.426      -1.728
   1.995e+08      -0.513       -1.84
   1.995e+08      -0.602      -1.956
   1.995e+08      -0.683       -2.06
   1.995e+08      -0.725      -2.117
   1.995e+08      -0.757      -2.162
   1.995e+08      -0.701      -2.083
   1.995e+08      -0.637      -1.996
   1.995e+08      -0.572      -1.908
   1.995e+08      -0.501      -1.813
   1.995e+08      -0.422      -1.707
   1.995e+08      -0.333      -1.592
   1.995e+08      -0.235      -1.466
   1.995e+08      -0.138      -1.343
   1.995e+08      -0.053      -1.219
   1.995e+08       0.012      -1.115
   1.995e+08      -0.012      -1.099
   1.995e+08      -0.493      -1.523
   1.995e+08      -0.529      -1.555
   1.995e+08      -0.592      -1.614
   1.995e+08       -0.47      -1.576
   1.995e+08      -0.389      -1.572
   1.995e+08      -0.428      -1.652
   1.995e+08       -0.48      -1.724
   1.995e+08      -0.568      -1.841
   1.995e+08      -0.648      -1.946
   1.995e+08      -0.743      -2.078
   1.995e+08       -0.83      -2.196
   1.995e+08      -0.902      -2.297
   1.995e+08      -0.978      -2.409
   1.995e+08       -1.05      -2.511
   1.995e+08      -1.121      -2.622
   1.995e+08      -1.189      -2.727
   1.995e+08       -1.26      -2.834
   1.995e+08      -1.299      -2.896
   1.995e+08      -1.335      -2.955
   1.995e+08      -1.377      -3.033
   1.995e+08      -1.365      -3.027
   1.995e+08      -1.318      -2.972
   1.995e+08      -1.278      -2.921
   1.995e+08      -1.236      -2.863
   1.995e+08      -1.129      -2.736
   1.995e+08      -0.992      -2.585
   1.995e+08      -0.865      -2.444
   1.995e+08      -0.698      -2.259
   1.995e+08      -0.936      -2.522
   1.995e+08      -1.024       -2.62
   1.995e+08      -0.895      -2.477
   1.995e+08      -0.746      -2.312
   1.995e+08      -0.586      -2.134
   1.995e+08      -0.407      -1.952
   1.995e+08      -0.837      -2.394
   1.995e+08      -0.307       -1.85
   1.995e+08      -0.015      -1.556
   1.995e+08       0.325      -1.238
   1.995e+08       0.432      -1.141
   1.995e+08       0.478      -1.099
   1.995e+08       0.523      -1.057
   1.995e+08       0.562      -1.019
   1.995e+08       0.613      -0.971
   1.995e+08       0.652      -0.933
   1.995e+08       0.697       -0.89
   1.995e+08       0.747      -0.842
   1.995e+08       0.789        -0.8
   1.995e+08       0.841       -0.75
   1.995e+08       0.895      -0.698
   1.995e+08       0.957      -0.638
   1.995e+08       1.025      -0.572
   1.995e+08       1.101      -0.499
   1.995e+08       1.193      -0.411
   1.995e+08       1.313      -0.296
   1.995e+08       1.476      -0.143
   1.995e+08       1.793       0.156
   1.995e+08       0.964      -0.603
   1.995e+08      -4.808      -5.736
