#             Isocronas PARSEC
# http://stev.oapd.inaf.it/cgi-bin/cmd
# Las magnitudes que se muestran son las absolutas.
#        age         M_B          M_V
#       (yr)        (mag)        (mag)
   5.012e+07       14.57          13
   5.012e+07       13.53       12.03
   5.012e+07       12.88       11.42
   5.012e+07       12.36       10.95
   5.012e+07        11.9       10.54
   5.012e+07       11.45       10.13
   5.012e+07       11.01       9.713
   5.012e+07       10.56       9.282
   5.012e+07       10.56       9.281
   5.012e+07       10.09       8.845
   5.012e+07       9.648       8.426
   5.012e+07       8.675       7.552
   5.012e+07       7.664       6.669
   5.012e+07       7.187       6.261
   5.012e+07       6.738       5.883
   5.012e+07       5.976       5.248
   5.012e+07       5.328         4.7
   5.012e+07       4.733       4.195
   5.012e+07       4.677       4.147
   5.012e+07       4.168       3.714
   5.012e+07       3.705       3.317
   5.012e+07       3.306       2.983
   5.012e+07       2.917        2.66
   5.012e+07       2.577       2.383
   5.012e+07       2.283       2.147
   5.012e+07       2.029       1.941
   5.012e+07       1.925       1.857
   5.012e+07       1.825       1.773
   5.012e+07       1.476       1.477
   5.012e+07       1.062       1.112
   5.012e+07       0.509       0.598
   5.012e+07       0.441       0.534
   5.012e+07       0.048       0.161
   5.012e+07      -0.297      -0.168
   5.012e+07      -0.346      -0.215
   5.012e+07      -0.725      -0.579
   5.012e+07       -0.79      -0.641
   5.012e+07        -1.1       -0.94
   5.012e+07      -1.157      -0.996
   5.012e+07      -1.453      -1.284
   5.012e+07       -1.71      -1.536
   5.012e+07      -1.913      -1.737
   5.012e+07      -1.956      -1.779
   5.012e+07      -2.179      -2.001
   5.012e+07      -2.393      -2.216
   5.012e+07      -2.603      -2.427
   5.012e+07       -2.81      -2.637
   5.012e+07      -3.012      -2.844
   5.012e+07       -3.11      -2.944
   5.012e+07      -3.199      -3.037
   5.012e+07      -3.261      -3.099
   5.012e+07      -3.278      -3.116
   5.012e+07      -3.278      -3.112
   5.012e+07      -3.237      -3.064
   5.012e+07      -3.204      -3.025
   5.012e+07      -3.183      -2.996
   5.012e+07      -3.184      -2.997
   5.012e+07      -3.161       -2.98
   5.012e+07      -3.236      -3.064
   5.012e+07      -3.355       -3.19
   5.012e+07      -3.501      -3.345
   5.012e+07      -3.652      -3.506
   5.012e+07      -3.754      -3.614
   5.012e+07      -3.855      -3.722
   5.012e+07      -3.956      -3.833
   5.012e+07      -4.059      -3.947
   5.012e+07      -4.165      -4.065
   5.012e+07      -4.273      -4.186
   5.012e+07      -4.382       -4.31
   5.012e+07      -4.433      -4.372
   5.012e+07      -4.482      -4.435
   5.012e+07      -4.526      -4.497
   5.012e+07      -4.548      -4.546
   5.012e+07      -4.535      -4.578
   5.012e+07      -4.475      -4.585
   5.012e+07      -4.345       -4.56
   5.012e+07      -4.137      -4.501
   5.012e+07      -3.843      -4.394
   5.012e+07      -3.394      -4.211
   5.012e+07      -2.825      -3.924
   5.012e+07      -2.444       -3.66
   5.012e+07      -2.175       -3.47
   5.012e+07      -2.085      -3.457
   5.012e+07      -2.129      -3.561
   5.012e+07      -2.192       -3.67
   5.012e+07      -2.241      -3.759
   5.012e+07      -2.288      -3.842
   5.012e+07       -2.33      -3.916
   5.012e+07      -2.362      -3.972
   5.012e+07      -2.405      -4.037
   5.012e+07      -2.446        -4.1
   5.012e+07      -2.466      -4.133
   5.012e+07       -2.44       -4.08
   5.012e+07      -2.404      -4.019
   5.012e+07      -2.373      -3.963
   5.012e+07      -2.329      -3.889
   5.012e+07      -2.292      -3.817
   5.012e+07      -2.274      -3.759
   5.012e+07      -2.336      -3.769
   5.012e+07      -2.599      -3.974
   5.012e+07      -2.913      -4.219
   5.012e+07      -3.299       -4.46
   5.012e+07      -3.492      -4.555
   5.012e+07      -3.685       -4.64
   5.012e+07      -3.846      -4.706
   5.012e+07      -4.082      -4.795
   5.012e+07      -4.274      -4.864
   5.012e+07      -4.416      -4.913
   5.012e+07      -4.552      -4.962
   5.012e+07      -4.726      -5.007
   5.012e+07      -4.819      -5.028
   5.012e+07      -4.747      -5.022
   5.012e+07      -4.699       -5.05
   5.012e+07      -4.611      -5.048
   5.012e+07      -4.509      -5.024
   5.012e+07      -4.396      -4.992
   5.012e+07      -4.273      -4.951
   5.012e+07      -4.145      -4.907
   5.012e+07      -4.003      -4.855
   5.012e+07      -3.856      -4.796
   5.012e+07      -3.706      -4.732
   5.012e+07      -3.528      -4.649
   5.012e+07      -3.298       -4.52
   5.012e+07      -3.007      -4.326
   5.012e+07      -2.745      -4.135
   5.012e+07        -2.5      -3.987
   5.012e+07      -2.493      -4.022
   5.012e+07      -2.497      -4.032
   5.012e+07      -2.519      -4.094
   5.012e+07      -2.544      -4.148
   5.012e+07      -2.566      -4.191
   5.012e+07      -2.592       -4.24
   5.012e+07      -2.606      -4.278
   5.012e+07      -2.622      -4.318
   5.012e+07      -2.526      -4.203
   5.012e+07      -2.435      -4.082
   5.012e+07      -2.428      -4.073
