#             Isocronas PARSEC
# http://stev.oapd.inaf.it/cgi-bin/cmd
# Las magnitudes que se muestran son las absolutas.
#        age         M_B          M_V
#       (yr)        (mag)        (mag)
       1e+09       14.57       12.99
       1e+09       13.52       12.02
       1e+09       12.87       11.41
       1e+09       12.34       10.94
       1e+09       11.89       10.53
       1e+09       11.43       10.11
       1e+09       11.35       10.03
       1e+09          11       9.706
       1e+09       10.54       9.269
       1e+09       10.08       8.834
       1e+09       9.636       8.414
       1e+09       8.667        7.54
       1e+09       7.604       6.617
       1e+09       6.743       5.887
       1e+09       6.653       5.811
       1e+09       6.489       5.672
       1e+09       5.857       5.145
       1e+09       5.417       4.772
       1e+09       5.162       4.555
       1e+09       5.032       4.444
       1e+09       4.769       4.217
       1e+09       4.579       4.054
       1e+09       4.543       4.023
       1e+09       4.296       3.809
       1e+09       4.125        3.66
       1e+09       4.083       3.623
       1e+09       4.006       3.556
       1e+09       3.535       3.143
       1e+09       3.464       3.081
       1e+09       3.112       2.771
       1e+09       2.884       2.568
       1e+09       2.731       2.428
       1e+09       2.549       2.262
       1e+09       2.384       2.106
       1e+09       2.289       2.017
       1e+09       2.087       1.819
       1e+09       2.067       1.799
       1e+09       1.921        1.65
       1e+09       1.792       1.509
       1e+09       1.791       1.508
       1e+09       1.787       1.504
       1e+09       1.698       1.394
       1e+09       1.686       1.377
       1e+09        1.64       1.307
       1e+09       1.616       1.262
       1e+09       1.601       1.233
       1e+09       1.583         1.2
       1e+09       1.557       1.163
       1e+09       1.521       1.125
       1e+09       1.474       1.086
       1e+09       1.387       1.024
       1e+09       1.211       0.909
       1e+09       1.055       0.805
       1e+09       0.876       0.685
       1e+09        0.93       0.729
       1e+09       1.067       0.828
       1e+09       1.145       0.855
       1e+09        1.17       0.828
       1e+09       1.214       0.827
       1e+09       1.305       0.855
       1e+09       1.455       0.925
       1e+09       1.611       1.016
       1e+09       1.819       1.153
       1e+09       2.009        1.29
       1e+09       2.242       1.462
       1e+09       2.448       1.617
       1e+09       2.616       1.724
       1e+09       2.594       1.644
       1e+09       2.474       1.494
       1e+09       2.342       1.338
       1e+09       2.225       1.201
       1e+09       2.099       1.053
       1e+09       1.963       0.894
       1e+09       1.839       0.747
       1e+09       1.735       0.625
       1e+09       1.629       0.501
       1e+09       1.517       0.369
       1e+09        1.41       0.243
       1e+09       1.298        0.11
       1e+09       1.199       -0.01
       1e+09       1.106      -0.125
       1e+09       1.011      -0.242
       1e+09       0.915       -0.36
       1e+09       0.828       -0.47
       1e+09        0.81      -0.492
       1e+09       1.289       0.102
       1e+09       1.389       0.223
       1e+09       1.468        0.32
       1e+09       1.545       0.412
       1e+09       1.624       0.507
       1e+09       1.709       0.607
       1e+09       1.825       0.745
       1e+09       1.894       0.829
       1e+09       1.956       0.903
       1e+09       2.016       0.975
       1e+09       2.086       1.058
       1e+09       2.164       1.149
       1e+09       2.228       1.225
       1e+09       2.064       1.063
       1e+09       1.987       0.987
       1e+09       1.882       0.882
       1e+09       1.793       0.791
       1e+09       1.616       0.601
       1e+09       1.509        0.47
       1e+09       1.408       0.341
       1e+09       1.319       0.225
       1e+09       1.226       0.109
       1e+09       1.138      -0.001
       1e+09       1.062      -0.094
       1e+09       0.965      -0.213
       1e+09        0.86      -0.343
       1e+09       0.764      -0.463
       1e+09       0.658      -0.595
       1e+09       0.538      -0.751
       1e+09       0.447      -0.872
       1e+09       0.344      -1.007
       1e+09       0.276      -1.105
       1e+09       0.191      -1.217
       1e+09       0.121      -1.312
       1e+09       0.031      -1.425
       1e+09      -0.027      -1.517
       1e+09      -0.091      -1.614
       1e+09      -0.137      -1.687
       1e+09      -0.185      -1.759
       1e+09      -0.227      -1.822
       1e+09      -0.284      -1.902
       1e+09      -0.309       -1.95
       1e+09      -0.208      -1.847
       1e+09      -0.164        -1.8
       1e+09      -0.329      -1.973
       1e+09      -0.256      -1.886
       1e+09      -0.121      -1.724
       1e+09       0.151      -1.421
       1e+09        0.42      -1.126
       1e+09       0.776      -0.767
       1e+09         1.1      -0.441
       1e+09       2.184       0.584
       1e+09       0.057       -2.23
       1e+09       0.476      -2.009
       1e+09       0.739      -1.876
       1e+09       1.182      -1.645
       1e+09      -1.164      -2.934
       1e+09      -2.465      -3.884
       1e+09      -4.469      -5.309
