#             Isocronas PARSEC
# http://stev.oapd.inaf.it/cgi-bin/cmd
# Las magnitudes que se muestran son las absolutas.
#        age         M_B          M_V
#       (yr)        (mag)        (mag)
       1e+08       14.57          13
       1e+08       13.52       12.03
       1e+08       12.88       11.42
       1e+08       12.36       10.95
       1e+08        11.9       10.54
       1e+08       11.45       10.13
       1e+08       11.01       9.713
       1e+08       10.55        9.28
       1e+08       10.09       8.844
       1e+08       9.648       8.426
       1e+08       8.677       7.553
       1e+08        7.66       6.665
       1e+08       6.728       5.874
       1e+08       6.684       5.837
       1e+08       5.949       5.223
       1e+08       5.904       5.185
       1e+08       5.277       4.657
       1e+08        4.67       4.141
       1e+08       4.159       3.705
       1e+08       3.697       3.308
       1e+08       3.295       2.971
       1e+08       2.905       2.648
       1e+08       2.564       2.369
       1e+08       2.267       2.129
       1e+08       2.012       1.921
       1e+08       1.901       1.831
       1e+08         1.8       1.745
       1e+08        1.44       1.437
       1e+08       1.263       1.282
       1e+08       1.001       1.047
       1e+08        0.47       0.552
       1e+08       0.395        0.48
       1e+08      -0.008       0.096
       1e+08      -0.138      -0.029
       1e+08      -0.365      -0.248
       1e+08      -0.645       -0.52
       1e+08      -0.664      -0.538
       1e+08      -0.914      -0.782
       1e+08      -1.139      -1.005
       1e+08      -1.222      -1.087
       1e+08      -1.367       -1.23
       1e+08      -1.565      -1.429
       1e+08      -1.757      -1.622
       1e+08      -1.944      -1.812
       1e+08      -2.022      -1.892
       1e+08      -2.126      -1.998
       1e+08      -2.211      -2.085
       1e+08      -2.289      -2.166
       1e+08      -2.337      -2.213
       1e+08      -2.358      -2.233
       1e+08      -2.359      -2.231
       1e+08      -2.326       -2.19
       1e+08      -2.303      -2.158
       1e+08      -2.289      -2.138
       1e+08      -2.279      -2.128
       1e+08      -2.251      -2.108
       1e+08      -2.336        -2.2
       1e+08       -2.46      -2.331
       1e+08      -2.592      -2.471
       1e+08      -2.713        -2.6
       1e+08      -2.828      -2.725
       1e+08      -2.939      -2.846
       1e+08      -3.007      -2.922
       1e+08       -3.07      -2.996
       1e+08      -3.131      -3.071
       1e+08      -3.184      -3.145
       1e+08      -3.218       -3.21
       1e+08      -3.207       -3.25
       1e+08      -3.179      -3.259
       1e+08      -3.118      -3.248
       1e+08      -3.029      -3.226
       1e+08      -2.909       -3.19
       1e+08      -2.759      -3.134
       1e+08       -2.57      -3.058
       1e+08      -2.321      -2.952
       1e+08      -2.028      -2.818
       1e+08      -1.736      -2.663
       1e+08       -1.48      -2.503
       1e+08      -1.245       -2.34
       1e+08      -1.088      -2.236
       1e+08      -1.031      -2.261
       1e+08       -1.12      -2.414
       1e+08        -1.2       -2.53
       1e+08      -1.271      -2.635
       1e+08      -1.337      -2.732
       1e+08      -1.391      -2.818
       1e+08      -1.453      -2.911
       1e+08       -1.52      -3.007
       1e+08      -1.578      -3.094
       1e+08       -1.63      -3.174
       1e+08       -1.64      -3.189
       1e+08      -1.595      -3.112
       1e+08      -1.544       -3.03
       1e+08      -1.478       -2.93
       1e+08      -1.416      -2.834
       1e+08      -1.358      -2.746
       1e+08      -1.293      -2.651
       1e+08      -1.232      -2.557
       1e+08      -1.185      -2.475
       1e+08      -1.219      -2.471
       1e+08      -1.445      -2.643
       1e+08      -1.665      -2.814
       1e+08      -1.896      -2.967
       1e+08      -2.178      -3.131
       1e+08      -2.589      -3.385
       1e+08      -2.492      -3.379
       1e+08      -2.266      -3.277
       1e+08      -1.943      -3.098
       1e+08      -1.555       -2.83
       1e+08      -1.474      -2.821
       1e+08      -1.501      -2.884
       1e+08      -1.509      -2.898
       1e+08      -1.564      -2.984
       1e+08      -1.618      -3.075
       1e+08      -1.664      -3.146
       1e+08      -1.729       -3.25
       1e+08      -1.788      -3.345
       1e+08      -1.832      -3.417
       1e+08      -1.872      -3.479
       1e+08      -1.912      -3.544
       1e+08      -1.948      -3.603
       1e+08       -1.98      -3.658
       1e+08      -1.934      -3.607
       1e+08      -1.896      -3.559
       1e+08      -1.902      -3.557
       1e+08      -1.895      -3.542
       1e+08      -1.871      -3.505
       1e+08       -1.83      -3.446
       1e+08      -1.797      -3.409
       1e+08      -1.701      -3.303
       1e+08      -1.601      -3.192
       1e+08      -1.529       -3.11
