#             Isocronas PARSEC
# http://stev.oapd.inaf.it/cgi-bin/cmd
# Las magnitudes que se muestran son las absolutas.
#        age         M_B          M_V
#       (yr)        (mag)        (mag)
       1e+06       14.57          13
       1e+06       13.53       12.03
       1e+06       12.88       11.42
       1e+06       12.36       10.95
       1e+06        11.9       10.54
       1e+06       11.45       10.13
       1e+06       11.01       9.714
       1e+06       10.56       9.282
       1e+06        10.1       8.846
       1e+06       9.648       8.427
       1e+06       8.673       7.551
       1e+06       7.671       6.675
       1e+06       6.748       5.892
       1e+06       6.003       5.272
       1e+06       5.381       4.743
       1e+06       4.697       4.165
       1e+06       4.172       3.717
       1e+06       3.712       3.325
       1e+06       3.309       2.989
       1e+06       2.918       2.664
       1e+06       2.563       2.372
       1e+06       2.273       2.142
       1e+06       2.046       1.961
       1e+06       1.942       1.877
       1e+06       1.776       1.731
       1e+06       1.503       1.508
       1e+06       1.115       1.168
       1e+06       0.605       0.699
       1e+06       0.206       0.324
       1e+06      -0.121       0.016
       1e+06      -0.395      -0.243
       1e+06      -0.652      -0.486
       1e+06      -1.099      -0.911
       1e+06      -1.345      -1.145
       1e+06      -1.474      -1.269
       1e+06      -2.131      -1.903
       1e+06      -2.836      -2.582
       1e+06      -3.391      -3.119
       1e+06      -4.054      -3.765
       1e+06      -4.845      -4.542
       1e+06      -5.352      -5.041
       1e+06       -5.36      -5.049
       1e+06       -6.08      -5.764
       1e+06      -6.497      -6.182
       1e+06      -6.938      -6.624
